antalUndervisningsdage,beskrivelse,duration,endDate,forudsaetninger,holdTitle,id,institution,kontaktMail,kontaktPerson,kontaktPersonTlfNummer,lokationGade,lokationPostNr,lokationSted,startDate,tilmeldingsFrist,undervisningsform,undervisningstidspunkt,aabent,aflyst,aktiGuid,currentParticipantAmount,flereKurser,garantiKursus,hjemmeside,kviknummer,minimumParticipants,normpris,participantCapacity,tillaegspris,tillaegsprisAarsag,tillaegsprisBegrundelse,ledigePladser,link
,"22906 - Sikkerhed v. asbestarbejde uden autorisationskrav
Målgruppe: 1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøvetagning, herunder materialeprøver og geltapeprøver
Beskrivelse: Deltageren kan arbejde sikkerheds- og sundhedsmæssigt fuldt forsvarligt med ethvert andet asbestarbejde end autorisationskrævende nedrivning af asbestholdigt materiale, som det er defineret og reguleret i bekendtgørelse om asbest i arbejdsmiljøet.
Deltageren har i den sammenhæng erhvervet sig",2,2026-09-22,,Sikkerhed v. asbestarbejde uden autorisationskrav,878372,AMU SYD,ckl@amusyd.dk,Carina Kjær Lillelund,76373744,C.F. Tietgens Vej 6,6000,Kolding,2026-09-21,2026-09-17,Dagundervisning,08:00-15:24,False,False,BF0BEA4F5D754EAC8ECCB3DAC983AD84,2,False,False,www.amusyd.dk,6214072290626009,10,436,20,,,,18,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6214072290626009
,,2,2026-09-23,,Sikkerhed v. asbestarbejde uden autorisationskrav,889177,UCE - UddannelsesCenter Sydøstdanmark – erhvervsuddannelser og -gymnasier på Lolland-Falster og Sydsjælland,lena@uce.dk,Lene Elisa Andersen,54888852,Kringelborg Allé 7,4800,Nykøbing F,2026-09-22,2026-09-14,Dagundervisning,07:30 - 14:54,False,False,86db864ad9074bf4b81e54b4f2d23559,0,False,False,https://celfkurser.dk,37640226lt22906-02,14,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=37640226lt22906-02
,"1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøvetagning, herunder materialeprøver og geltapeprøver.
",2,2026-09-29,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,890000,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Hovedakslen 10,4760,Vordingborg,2026-09-28,2026-09-27,Dagundervisning,08:00 - 15:24,False,False,847879E8F933405C9F8D2354316F36C8,0,False,True,https://www.amujuul.dk,26541423091,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423091
,"Fag kan være prøvebelagt. Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.
Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart.",2,2026-09-29,,Sikkerhed v. asbestarbejde uden autorisationskrav,857522,ZBC - Zealand Business College,jpe@zbc.dk,Julie Linea Petersen,31935663,Maglegårdsvej 8,4000,Roskilde,2026-09-28,2026-09-20,Dagundervisning,08:00-15:24,False,False,05066a1f69024c8d8beee37c14401c68,0,False,False,https://kurser.zbc.dk,2809415609am22906ro3,8,436,30,,,,30,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809415609am22906ro3
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation",2,2026-09-30,,Sikkerhed v. asbestarbejde uden autorisationskrav,877938,EUC Sjælland,bero@eucsj.dk,Berit Roholte,25235764,Campusbuen 31,4600,Køge,2026-09-29,2026-09-22,Dagundervisning,08:00 - 15:24,False,False,4DF090240B4C45C5A456731984237082,0,False,False,https://eucsj.dk,373401a26922290640,8,436,12,,,,12,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=373401a26922290640
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-09-30,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889456,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Abildgårdsvej 14,4000,Roskilde,2026-09-29,2026-09-28,Dagundervisning,08:00 - 15:24,False,False,9C4B0BAF64AC4B79B76D6D22D6692BC6,0,False,True,https://www.amujuul.dk,26541423069,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423069
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-10-01,"Kurset er rettet mod ansatte i skorstensfejerfaget. Såfremt du ønsker overnatning, bedes du kontakte Comwell.",Sikkerhed v. asbestarbejde uden autorisationskrav,889716,Roskilde Tekniske Skole,rts@rts.dk,Christina Jensen,46300400,Schüttesvej 6,8700,Horsens,2026-09-30,2026-09-10,Dagundervisning,08:00-15:24,False,False,C7C623F70F5A41E3B03624519184A280,14,False,False,www.rts.dk,2654168241126yba40,1,1136,20,"[340, 360]","['Tillægspris som følge af særlig tilrettelæggelse', 'Tillægspris som følge af særlig tilrettelæggelse']","['Forplejning', 'Lokale']",6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2654168241126yba40
,Kurset afholdes med gæstelærer,2,2026-10-01,,Sikkerhed v. asbestarb. uden autorisationskrav,888702,U/NORD,lly@unord.dk,Lone Lyngbo,48225310,Peder Oxes allé 4,3400,Hillerød,2026-09-30,2026-09-24,Dagundervisning,8.00-15.24,False,False,c8241c4237984036b244f2c3a03205cd,6,False,False,www.kursus.unord.dk,281219po26asb3009,10,436,20,,,,14,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=281219po26asb3009
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-10-06,,Sikkerhed v. asbestarbejde uden autorisationskrav,845109,AMU-Fyn,jap@amu-fyn.dk,Jasmina Petrovic,63135103,Petersmindevej 50,5000,Odense C,2026-10-05,2026-10-05,Dagundervisning,08:00 - 15:24,False,False,02DBEC69DFC24724B84FFEFAB463FCA4,2,False,False,https://www.amu-fyn.dk,461420b02290612606,10,436,20,,,,18,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=461420b02290612606
,,2,2026-10-06,,Sikkerhed v. asbestarbejde uden autorisationskrav,837172,TECHCOLLEGE,gira@techcollege.dk,Gitte F. Rasmussen,72505271,Øster Uttrup Vej 1,9000,Aalborg,2026-10-05,2026-09-28,Dagundervisning,08:15 - 15:40,False,False,9A93271CCEE04B2DA94B6E81BD890B7A,5,False,False,https://techcollege.dk,851401abe051026,10,436,20,,,,15,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=851401abe051026
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-10-06,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889617,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Roedsvej 10,4300,Holbæk,2026-10-05,2026-10-04,Dagundervisning,08:00 - 15:24,False,False,C2BFF616ABE040F19F7CAE5A4CF4C065,0,False,True,https://www.amujuul.dk,26541423083,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423083
,,2,2026-10-07,,Sikkerhed v. asbestarbejde uden autorisationskrav,880492,Rybners,mhjo@rybners.dk,Maja Holden Juhl Poulsen,76133373,Spangsbjerg Møllevej 72,6700,Esbjerg,2026-10-06,2026-10-05,Dagundervisning,08:00- 15:25,False,False,51d9fa1518e947be9342fa276efe725c,0,False,False,http:\\www.rybners.dk,280560ABY26222906BM2,13,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=280560ABY26222906BM2
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-10-07,,Sikkerhed v. asbestarbejde uden autorisationskrav,874802,Roskilde Tekniske Skole,rts@rts.dk,Christina Jensen,46300400,Ledreborg Allé 42,4000,Roskilde,2026-10-06,2026-10-01,Dagundervisning,08:00-15:24,False,False,8D9D157579384D41BE304E55DE0D091A,0,False,False,www.rts.dk,2654168241126baa41,1,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2654168241126baa41
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation",2,2026-10-07,,Sikkerhed v. asbestarbejde uden autorisationskrav,877939,EUC Sjælland,bero@eucsj.dk,Berit Roholte,25235764,Campusbuen 31,4600,Køge,2026-10-06,2026-09-28,Dagundervisning,08:00 - 15:24,False,False,6DED796FD7E34EE19913C10EDA4E98CF,0,False,False,https://eucsj.dk,373401a26922290641,8,436,12,,,,12,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=373401a26922290641
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.",2,2026-10-07,,Sikkerhed v.asbestarbejde uden autorisationskrav,885361,Campus Bornholm,amu@cabh.dk,Uddannelsesadministrationen,56959700,Ved Lunden 3,3700,Rønne,2026-10-06,2026-09-25,Dagundervisning,08.00-15.25,False,False,e0db7758b70f4b0bb59d645c4f96e24c,7,False,False,www.campusbornholm.dk,40040826Asbest0610,20,436,20,,,,13,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=40040826Asbest0610
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-10-08,"Kurset er rettet mod ansatte i skorstensfejerfaget. Såfremt du ønsker overnatning, bedes du kontakte Comwell.",Sikkerhed v. asbestarbejde uden autorisationskrav,889717,Roskilde Tekniske Skole,rts@rts.dk,Christina Jensen,46300400,Schüttesvej 6,8700,Horsens,2026-10-07,2026-09-30,Dagundervisning,08:00-15:24,False,False,B696C5BBB3474F81AE3087A538CE1DA6,16,False,False,www.rts.dk,2654168241126yba41,1,1136,20,"[340, 360]","['Tillægspris som følge af særlig tilrettelæggelse', 'Tillægspris som følge af særlig tilrettelæggelse']","['Forplejning', 'lokale']",4,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2654168241126yba41
,"22906 - Sikkerhed v. asbestarbejde uden autorisationskrav
Målgruppe: 1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøvetagning, herunder materialeprøver og geltapeprøver
Beskrivelse: Deltageren kan arbejde sikkerheds- og sundhedsmæssigt fuldt forsvarligt med ethvert andet asbestarbejde end autorisationskrævende nedrivning af asbestholdigt materiale, som det er defineret og reguleret i bekendtgørelse om asbest i arbejdsmiljøet.
Deltageren har i den sammenhæng erhvervet sig",2,2026-10-13,,Sikkerhed v. asbestarbejde uden autorisationskrav,878387,AMU SYD,ckl@amusyd.dk,Carina Kjær Lillelund,76373744,C.F. Tietgens Vej 6,6000,Kolding,2026-10-12,2026-10-08,Dagundervisning,08:00-15:24,False,False,AB89B1FBE3514A7DA311D35A7677FCB8,0,False,False,www.amusyd.dk,6214072290626010,10,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6214072290626010
,"1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøvetagning, herunder materialeprøver og geltapeprøver.
",2,2026-10-13,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,890001,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Hovedakslen 10,4760,Vordingborg,2026-10-12,2026-10-11,Dagundervisning,08:00 - 15:24,False,False,C4E5A3DA128A494C8C23592A844E2583,0,False,True,https://www.amujuul.dk,26541423092,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423092
,"Kurset berettiger til løntabs-godtgørelse for AMU-målgruppen (137,47 kr. pr. time mv) og tilskud fra Bygge- og Anlægsbranchens Kompetenceudviklingsfond (Op til 110 kr. pr. time og betaling af deltagergebyr)
Har du spørgsmål til kursus indhold kontakt Anja Coërs tlf. 79201124
OBS mødeindkaldelse bliver kun sendt til kursistens e-boks",2,2026-10-13,,Sikkerhed v. asbestarbejde uden autorisationskrav,864177,EUC Lillebælt,kursuscenter@eucl.dk,Jette Hansen/Jill Villesen,79201209,Teknikervej 2,7000,Fredericia,2026-10-12,2026-10-12,Dagundervisning,08:00-15:24,False,False,B6E06F210A6B443296940967E49DCCE9,0,False,False,www.eucl.dk,60740542SAU1126,10,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=60740542SAU1126
,,2,2026-10-13,,Sikkerhed v. asbestarbejde uden autorisationskrav,882336,AMU Nordjylland,tih@amunordjylland.dk,Tina Højgaard,96332215,"Sofievej 61, Vejgaard",9000,Aalborg,2026-10-12,2026-10-12,Dagundervisning,08:00 - 15:25,False,False,A7DDEF396DF7479292E59D50DDB6DB91,4,False,True,https://www.amunordjylland.dk,85142040229066t042,5,436,20,,,,16,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=85142040229066t042
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-10-20,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889618,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Roedsvej 10,4300,Holbæk,2026-10-19,2026-10-18,Dagundervisning,08:00 - 15:24,False,False,0E3DC41FB69245C7930DB6B4D0F40425,0,False,True,https://www.amujuul.dk,26541423084,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423084
,"Fag kan være prøvebelagt. Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.
Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart.",2,2026-10-22,,Sikkerhed v. asbestarbejde uden autorisationskrav,857523,ZBC - Zealand Business College,jpe@zbc.dk,Julie Linea Petersen,31935663,Maglegårdsvej 8,4000,Roskilde,2026-10-21,2026-10-11,Dagundervisning,08:00-15:24,False,False,e0789669275f4961b5f3faabdcbaff7c,0,False,False,https://kurser.zbc.dk,2809415610am22906ro1,8,436,30,,,,30,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809415610am22906ro1
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-10-23,"Kurset er rettet mod ansatte i skorstensfejerfaget. Såfremt du ønsker overnatning, bedes du kontakte Comwell.",Sikkerhed v. asbestarbejde uden autorisationskrav,889719,Roskilde Tekniske Skole,rts@rts.dk,Christina Jensen,46300400,Schüttesvej 6,8700,Horsens,2026-10-22,2026-10-01,Dagundervisning,08:00-15:24,False,False,6644AB10378345ABA1C02AB13E90E137,13,False,False,www.rts.dk,2654168241126yb43a,1,1136,20,"[360, 340]","['Tillægspris som følge af særlig tilrettelæggelse', 'Tillægspris som følge af særlig tilrettelæggelse']","['Lokale', 'Forplejning']",7,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2654168241126yb43a
,"Fag kan være prøvebelagt. 
Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.

Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart.",2,2026-10-27,,Sikkerhed v. asbestarbejde uden autorisationskrav,855227,ZBC - Zealand Business College,chr@zbc.dk,Christina Trøstrup Christensen,28442249,Willemoesvej 4,4200,Slagelse,2026-10-26,2026-10-12,Dagundervisning,07:30-14:54,False,False,54f957260d104057a9c71bd366fbd631,0,False,False,https://kurser.zbc.dk,2809416610am22906a,5,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809416610am22906a
,"Fag kan være prøvebelagt. Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.
Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart.",2,2026-10-29,,Sikkerhed v. asbestarbejde uden autorisationskrav,857524,ZBC - Zealand Business College,jpe@zbc.dk,Julie Linea Petersen,31935663,Maglegårdsvej 8,4000,Roskilde,2026-10-28,2026-10-18,Dagundervisning,08:00-15:24,False,False,10070b869eb5492393d6cf2eaa628b4d,0,False,False,https://kurser.zbc.dk,2809415610am22906ro2,8,436,30,,,,30,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809415610am22906ro2
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.",2,2026-10-30,,Sikkerhed v. asbestarbejde uden autorisationskrav,881405,NEXT UDDANNELSE KØBENHAVN,kursus@nextkbh.dk,NEXT Kursusservice,33880900,Fabriksparken 31,2600,Glostrup,2026-10-29,2026-10-23,Dagundervisning,08:00 til 15:24,False,False,ae9a5fcf7a6344f182b3391bc244805b,3,False,False,https://nextkbh.dk,28072706aå4412906g,8,436,24,,,,21,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=28072706aå4412906g
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation",2,2026-10-30,,Sikkerhed v. asbestarbejde uden autorisationskrav,880891,EUC Sjælland,bero@eucsj.dk,Berit Roholte,25235764,Malervænget 4,4700,Næstved,2026-10-29,2026-10-22,Dagundervisning,08:00 - 15:24,False,False,FE83952B9DD34FD9AE8689B1B4CF23EC,0,False,False,https://eucsj.dk,373401a26922290644,8,436,12,,,,12,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=373401a26922290644
,"Sikkerhed v. asbestarbejde uden autorisationskrav
Der kan forekomme afsluttende prøve på dette kursus",2,2026-10-30,,Sikkerhed v. asbestarbejde uden autorisationskrav,886605,Learnmark Horsens,jvni@learnmark.dk,Jette Nielsen,88163647,Vejlevej 150,8700,Horsens,2026-10-29,2026-10-29,Dagundervisning,08:00-15:24,False,False,0D95996F258745918879DADAAFF7B7C4,0,False,False,www.learnmark.dk,6154022290626022,14,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6154022290626022
,,2,2026-10-30,,Asbestarbejde u. autorisation – for rådgivere,884980,TECHCOLLEGE,gira@techcollege.dk,Gitte F. Rasmussen,72505271,Øster Uttrup Vej 1,9000,Aalborg,2026-10-29,2026-10-22,Dagundervisning,08:15 - 15:40,False,False,116277B684F648C1B584881878BB1A57,0,False,False,https://techcollege.dk,851401abe291026,10,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=851401abe291026
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-11-03,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889619,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Roedsvej 10,4300,Holbæk,2026-11-02,2026-11-01,Dagundervisning,08:00 - 15:24,False,False,F22DDFF0EBB74640A8D17B5E76D06B9E,0,False,True,https://www.amujuul.dk,26541423085,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423085
